Participante,VLT,Perfil,Frase,Condicao,Escolha,RT_Alvo
E3309,0,Bilingue,3,ThirdPSing,1,1922
E3309,0,Bilingue,4,ThirdPSing,2,
E3309,0,Bilingue,5,ThirdPSing,2,
E3309,0,Bilingue,6,ThirdPSing,2,
E3309,0,Bilingue,7,ThirdPSing,2,
E3309,0,Bilingue,8,ThirdPSing,2,
E3310,0,Bilingue,1,ThirdPSing,1,915
E3310,0,Bilingue,2,ThirdPSing,1,2005
E3310,0,Bilingue,3,ThirdPSing,2,
E3310,0,Bilingue,4,ThirdPSing,2,
E3310,0,Bilingue,5,ThirdPSing,2,
E3310,0,Bilingue,6,ThirdPSing,2,
E3310,0,Bilingue,7,ThirdPSing,1,1833
E3310,0,Bilingue,8,ThirdPSing,1,1226
E3311,0,Bilingue,1,ThirdPSing,2,
E3311,0,Bilingue,2,ThirdPSing,2,
E3311,0,Bilingue,3,ThirdPSing,1,5371
E3311,0,Bilingue,4,ThirdPSing,2,
